# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,06/29/2018 19:42:18,"Medical assist, assist EMS crew",120  Bert Brown RD ,High school/junior high school/middle school
1,06/29/2018 21:54:23,"EMS call, excluding vehicle accident with injury",903 N IH 35  ,"Hotel/motel, commercial"
1,06/29/2018 22:54:19,"Medical assist, assist EMS crew",1348  Thorpe LN ,Multifamily dwellings
1,06/29/2018 23:01:22,Vehicle accident with injuries, W Wonder World DR ,"Street, other"
2,06/29/2018 23:12:42,Vehicle accident with injuries,102 N IH 35  ,Street or road in commercial area
2,06/30/2018 3:28:20,Motor vehicle accident with no injuries,200  SB  ,Highway or divided highway
1,06/30/2018 4:53:22,Motor vehicle accident with no injuries,5600  Post RD ,Street or road in commercial area
1,06/30/2018 6:17:05,Passenger vehicle fire, S Stagecoach TRL ,Street or road in commercial area
2,06/30/2018 11:55:22,Motor vehicle accident with no injuries,200  NB  ,Highway or divided highway
1,06/30/2018 12:08:49,Public service,201  NB  ,Highway or divided highway
1,06/30/2018 13:05:08,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,06/30/2018 13:11:09,"EMS call, excluding vehicle accident with injury",850  Barnes DR ,Department or discount store
2,06/30/2018 14:27:03,"Trash or rubbish fire, contained",4501  Hunter RD ,Vehicle parking area
1,06/30/2018 14:48:58,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,06/30/2018 15:20:49,"Medical assist, assist EMS crew",580  Bridlewood DR ,1 or 2 family dwelling
2,06/30/2018 15:50:15,No incident found on arrival at dispatch address,1500 S IH 35  ,Highway or divided highway
1,06/30/2018 16:16:36,"EMS call, excluding vehicle accident with injury",913 N IH 35  ,Restaurant or cafeteria
1,06/30/2018 17:59:20,Assist invalid,1249 N LBJ DR ,Multifamily dwellings
2,06/30/2018 18:03:22,Vehicle accident with injuries,204  EXIT 204 NB  ,Highway or divided highway
1,06/30/2018 18:40:29,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,06/30/2018 18:42:41,Motor vehicle accident with no injuries,  Bugg LN ,"Residential street, road or residential driveway"
1,06/30/2018 22:58:20,"EMS call, excluding vehicle accident with injury",1210 S IH 35  ,Vehicle parking area
1,07/01/2018 0:13:04,Fireworks explosion (no fire),  Sadler DR ,Street or road in commercial area
1,07/01/2018 2:58:34,Police matter,  Hwy 123  ,Highway or divided highway
1,07/01/2018 5:38:46,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
2,07/01/2018 5:55:59,Motor vehicle accident with no injuries,900 N IH 35  ,Highway or divided highway
2,07/01/2018 9:33:43,"EMS call, excluding vehicle accident with injury",1230 N LBJ DR ,Multifamily dwellings
1,07/01/2018 12:39:34,"Medical assist, assist EMS crew",2913  Hunter RD ,Multifamily dwellings
2,07/01/2018 16:58:47,Dispatched & cancelled en route,200  NB  ,Highway or divided highway
1,07/01/2018 17:16:09,Motor vehicle accident with no injuries,  Broadway ST ,Highway or divided highway
1,07/01/2018 19:18:20,"EMS call, excluding vehicle accident with injury",610  Bracewood CIR ,Multifamily dwellings
1,07/01/2018 20:44:07,"EMS call, excluding vehicle accident with injury",1229 N LBJ DR ,Multifamily dwellings
0,07/01/2018 20:49:41,"EMS call, excluding vehicle accident with injury",104  Ladybird LN ,Multifamily dwellings
2,07/01/2018 22:01:23,"Cover assignment, standby, moveup",169 S Hill AVE ,Fire station
1,07/02/2018 2:14:00,Motor vehicle accident with no injuries,240 W Sessom DR ,"Residential street, road or residential driveway"
0,07/02/2018 2:31:07,"EMS call, excluding vehicle accident with injury",126 S Guadalupe ST ,Vehicle parking area
0,07/02/2018 3:20:06,"EMS call, excluding vehicle accident with injury",129 E Hopkins ST ,Vehicle parking area
1,07/02/2018 3:47:13,"Smoke scare, odor of smoke",409 N Comanche ST ,"Sorority house, fraternity house"
1,07/02/2018 3:47:40,"Medical assist, assist EMS crew",350  North ST ,Multifamily dwellings
1,07/02/2018 7:42:05,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/02/2018 11:51:02,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,07/02/2018 13:18:57,Vehicle accident with injuries, E Hopkins ST ,Street or road in commercial area
2,07/02/2018 13:38:00,Dispatched & cancelled en route,209  NB  ,Highway or divided highway
3,07/02/2018 14:50:15,Vehicle accident with injuries,204  SB  ,Highway or divided highway
1,07/02/2018 15:19:42,"Medical assist, assist EMS crew",1951  Hunter RD ,Multifamily dwellings
3,07/02/2018 15:29:26,Public service,200  SB  ,Highway or divided highway
1,07/02/2018 16:38:37,"Lock-in (if lock out , use 511 )",641 E Hopkins ST ,"Food and beverage sales, grocery store"
0,07/02/2018 19:38:06,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,"Service station, gas station"
1,07/02/2018 19:59:44,"EMS call, excluding vehicle accident with injury",1101  Davis LN ,"Boarding/rooming house, residential hotels"
1,07/02/2018 21:22:23,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,07/02/2018 21:25:33,Alarm system sounded due to malfunction,500  Parker DR ,Multifamily dwellings
3,07/02/2018 22:34:03,"Sprinkler activation, no fire - unintentional",1800  Post RD ,Multifamily dwellings
3,07/02/2018 23:29:20,Grass fire,1799  York Creek RD ,Crops or orchard
1,07/03/2018 0:09:28,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/03/2018 0:54:33,"EMS call, excluding vehicle accident with injury",1900  Aquarena Springs DR ,Multifamily dwellings
4,07/03/2018 8:51:54,"EMS call, excluding vehicle accident with injury",  Roadrunner Trail Marker R12  ,"Outside or special property, other"
1,07/03/2018 10:28:14,"EMS call, excluding vehicle accident with injury",401  Broadway ST ,"Clinic, clinic-type infirmary"
1,07/03/2018 13:29:44,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/03/2018 15:51:18,Vehicle accident with injuries,  Thorpe LN ,Street or road in commercial area
1,07/03/2018 15:54:49,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,07/03/2018 16:19:32,"EMS call, excluding vehicle accident with injury",222  Ramsay ST ,Vehicle parking area
1,07/03/2018 17:35:32,"EMS call, excluding vehicle accident with injury",319  Smith LN ,1 or 2 family dwelling
1,07/03/2018 18:07:48,"Smoke scare, odor of smoke",105 N IH 35  ,"Service station, gas station"
1,07/03/2018 20:05:33,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,Multifamily dwellings
2,07/03/2018 23:10:24,Assist police or other governmental agency,204  NB  ,Highway or divided highway
1,07/03/2018 23:11:41,Vehicle accident with injuries,1600  Mockingbird DR ,"Residential street, road or residential driveway"
1,07/04/2018 2:05:16,"EMS call, excluding vehicle accident with injury",601  River RD ,Multifamily dwellings
1,07/04/2018 5:51:02,Vehicle accident with injuries, E Staples RD ,Highway or divided highway
1,07/04/2018 6:00:44,"Medical assist, assist EMS crew",1202  Gravel ST ,1 or 2 family dwelling
2,07/04/2018 6:56:52,"Smoke detector activation, no fire - unintentional",900  Barnes DR ,"Hotel/motel, commercial"
1,07/04/2018 8:21:27,"EMS call, excluding vehicle accident with injury",1112  Advance ST ,1 or 2 family dwelling
1,07/04/2018 10:06:56,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
4,07/04/2018 10:47:55,"Emergency medical service, other",1807  Airport DR ,Open land or field
7,07/04/2018 14:48:58,Dumpster or other outside trash receptacle fire,1121 N IH 35 DR ,"Food and beverage sales, grocery store"
1,07/04/2018 15:43:39,"Good intent call, other",937  Hwy 80  ,1 or 2 family dwelling
2,07/04/2018 15:52:00,Alarm system sounded due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
2,07/04/2018 15:59:45,"False alarm or false call, other",300 S Stagecoach TRL ,Multifamily dwellings
1,07/04/2018 16:22:56,Alarm system sounded due to malfunction,1611  Clovis Barker RD ,"Manufacturing, processing"
2,07/04/2018 16:34:30,Motor vehicle accident with no injuries,  Rio Vista ST ,"Street, other"
1,07/04/2018 16:39:02,"EMS call, excluding vehicle accident with injury",1112  Advance ST ,1 or 2 family dwelling
1,07/04/2018 16:46:03,Alarm system sounded due to malfunction,2211 S IH 35  ,Department or discount store
1,07/04/2018 17:40:35,"EMS call, excluding vehicle accident with injury",1701  Mill ST ,Multifamily dwellings
1,07/04/2018 17:55:12,"Good intent call, other",1701  Mill ST ,Multifamily dwellings
6,07/04/2018 17:55:38,No incident found on arrival at dispatch address,  Progress ST ,"Residential, other"
2,07/04/2018 18:11:52,Alarm system sounded due to malfunction,1818  Old Ranch Road 12  ,Multifamily dwellings
1,07/04/2018 18:40:22,"EMS call, excluding vehicle accident with injury",312  Sherbarb ST ,1 or 2 family dwelling
1,07/04/2018 19:47:36,Gas leak (natural gas or LPG),181  Tallow TRL ,1 or 2 family dwelling
1,07/04/2018 21:54:30,"Lock-in (if lock out , use 511 )",170  Charles Austin DR ,Vehicle parking area
4,07/04/2018 23:28:35,Bomb scare - no bomb,1740  Old Ranch Road 12  ,Multifamily dwellings
2,07/04/2018 23:39:50,"EMS call, excluding vehicle accident with injury",2005  Castle Creek DR ,1 or 2 family dwelling
1,07/05/2018 1:06:18,"EMS call, excluding vehicle accident with injury",138 N LBJ DR ,Vehicle parking area
1,07/05/2018 1:21:10,Smoke detector activation due to malfunction,2255  Ridge Crest  ,1 or 2 family dwelling
2,07/05/2018 2:45:52,Motor vehicle accident with no injuries,  Post RD ,Street or road in commercial area
3,07/05/2018 5:03:49,Vehicle accident with injuries,1500 S IH 35  ,Highway or divided highway
0,07/05/2018 7:53:41,"EMS call, excluding vehicle accident with injury",1053  Clovis Barker RD ,"Hotel/motel, commercial"
3,07/05/2018 9:43:23,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,07/05/2018 11:55:20,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
2,07/05/2018 14:36:45,Public service,206  NB  ,Highway or divided highway
1,07/05/2018 17:35:59,"EMS call, excluding vehicle accident with injury",1640  Aquarena Springs DR ,Multifamily dwellings
1,07/05/2018 19:10:11,"EMS call, excluding vehicle accident with injury",1805 N IH 35  ,Multifamily dwellings
1,07/05/2018 23:36:18,"Electrical  wiring/equipment problem, other",620  Rogers ST ,1 or 2 family dwelling
2,07/06/2018 2:59:10,Alarm system sounded due to malfunction,120  Bert Brown RD ,"Reformatory, juvenile detention center"
1,07/06/2018 6:18:53,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
2,07/06/2018 7:39:49,"EMS call, excluding vehicle accident with injury",641 E Hopkins ST ,Vehicle parking area
2,07/06/2018 9:18:48,Dispatched & cancelled en route,3939 S IH 35  ,Department or discount store
1,07/06/2018 9:21:18,Public service,2106  Hunter RD ,"Outside or special property, other"
1,07/06/2018 11:15:04,"EMS call, excluding vehicle accident with injury",601  Leah AVE ,"Clinics, Doctors offices, hemodialysis centers"
1,07/06/2018 11:54:23,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
2,07/06/2018 12:48:39,Dispatched & cancelled en route,3939 S IH 35  ,Department or discount store
1,07/06/2018 13:53:53,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,07/06/2018 14:40:02,"EMS call, excluding vehicle accident with injury",401  Cheatham ST ,Vehicle parking area
6,07/06/2018 17:54:07,"Cooking fire, confined to container",1509  Girard AVE ,1 or 2 family dwelling
2,07/06/2018 18:24:40,Vehicle accident with injuries,1103  Hwy 80  ,Vehicle parking area
1,07/06/2018 19:03:11,"Alarm system sounded, no fire - unintentional",3939 S IH 35  ,Department or discount store
1,07/06/2018 22:34:28,"Smoke detector activation, no fire - unintentional",625  Commercial LP ,"Hotel/motel, commercial"
1,07/06/2018 22:56:50,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,07/07/2018 1:45:58,"EMS call, excluding vehicle accident with injury",100 N Guadalupe ST ,Bar or nightclub
1,07/07/2018 2:08:02,Motor vehicle accident with no injuries,1900  Aquarena Springs DR ,Open land or field
3,07/07/2018 8:02:55,"False alarm or false call, other",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,07/07/2018 10:22:18,"Medical assist, assist EMS crew",105  Saltillo ST ,1 or 2 family dwelling
1,07/07/2018 11:06:11,Motor vehicle accident with no injuries,3936 S IH 35  ,"Service station, gas station"
1,07/07/2018 11:38:57,"Arcing, shorted electrical equipment",  Broadway ST ,Highway or divided highway
1,07/07/2018 12:20:20,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
1,07/07/2018 13:37:33,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,Convenience store
1,07/07/2018 13:47:46,Motor vehicle accident with no injuries,1701  Hunter RD ,Vehicle parking area
8,07/07/2018 17:46:14,Building fire - Residential,266  Cordero DR ,1 or 2 family dwelling
1,07/07/2018 18:55:57,"EMS call, excluding vehicle accident with injury",211  Orchard ST ,1 or 2 family dwelling
2,07/07/2018 19:55:41,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,07/07/2018 23:39:16,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,07/07/2018 23:48:02,"EMS call, excluding vehicle accident with injury",110  Trestle Tree  ,Multifamily dwellings
1,07/08/2018 0:37:52,"Medical assist, assist EMS crew",426  Linda DR ,1 or 2 family dwelling
1,07/08/2018 3:41:14,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
2,07/08/2018 7:52:54,"System malfunction, other",301 N Guadalupe ST ,"General retail, other"
1,07/08/2018 10:39:19,Animal rescue,508 W San Antonio ST ,1 or 2 family dwelling
1,07/08/2018 12:13:36,Police matter,  Charles Austin DR ,Street or road in commercial area
4,07/08/2018 17:10:09,Motor vehicle accident with no injuries,  Hwy 80  ,Highway or divided highway
0,07/08/2018 17:14:12,"EMS call, excluding vehicle accident with injury",2250  Clovis Barker RD ,"Reformatory, juvenile detention center"
2,07/08/2018 18:27:02,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
1,07/08/2018 21:33:22,"EMS call, excluding vehicle accident with injury",729  Oscar Smith ST ,1 or 2 family dwelling
1,07/08/2018 22:11:29,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/08/2018 22:18:31,"Medical assist, assist EMS crew",119  Smith LN ,Mental retardation/development disability facility
1,07/09/2018 2:57:44,Smoke detector activation due to malfunction,1271  Sadler DR ,Multifamily dwellings
0,07/09/2018 3:24:34,"EMS call, excluding vehicle accident with injury",1716  Hofheinz ST ,1 or 2 family dwelling
1,07/09/2018 5:44:31,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
2,07/09/2018 8:15:17,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,Department or discount store
1,07/09/2018 9:49:59,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
2,07/09/2018 11:26:57,Vehicle accident with injuries, N C M Allen PKWY ,Street or road in commercial area
1,07/09/2018 13:38:58,"Unintentional transmission of alarm, other",1050  McKinley Place DR ,"General retail, other"
1,07/09/2018 13:51:16,Motor vehicle accident with no injuries,1000  Hwy 123  ,Vehicle parking area
1,07/09/2018 13:54:36,"Medical assist, assist EMS crew",1201  Thorpe LN ,Multifamily dwellings
9,07/09/2018 14:29:26,Building fire - Residential,1951  Hunter RD ,Multifamily dwellings
2,07/09/2018 17:30:51,Police matter,1701  Mill ST ,Railroad right of way
1,07/09/2018 17:31:59,Gas leak (natural gas or LPG),1923  Castle Gate CIR ,1 or 2 family dwelling
1,07/09/2018 18:38:06,"Smoke scare, odor of smoke",1406  Andra LN ,Open land or field
1,07/09/2018 19:43:22,Water or steam leak,128  Cedargrove  ,1 or 2 family dwelling
1,07/09/2018 20:47:21,"EMS call, excluding vehicle accident with injury",1716  Hofheinz ST ,1 or 2 family dwelling
2,07/09/2018 21:50:00,Alarm system sounded due to malfunction,1050  McKinley Place DR ,"Household goods, sales, repairs"
2,07/09/2018 21:51:04,"EMS call, excluding vehicle accident with injury",1011  Wonder World DR ,Multifamily dwellings
1,07/09/2018 22:11:43,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
2,07/10/2018 13:53:02,"Smoke scare, odor of smoke",200  SB  ,Highway or divided highway
0,07/10/2018 14:32:29,"EMS call, excluding vehicle accident with injury",1203  Monica ST ,1 or 2 family dwelling
4,07/10/2018 16:48:41,Dispatched & cancelled en route,204  NB  ,Highway or divided highway
1,07/11/2018 0:48:15,"EMS call, excluding vehicle accident with injury",138 N LBJ DR ,Vehicle parking area
0,07/11/2018 2:54:36,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
2,07/11/2018 7:51:09,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
4,07/11/2018 10:08:44,Vehicle accident with injuries,202  SB  ,Highway or divided highway
1,07/11/2018 10:13:58,Public service,1125  Perkins ST ,1 or 2 family dwelling
2,07/11/2018 10:31:07,Vehicle accident with injuries,  Clarewood DR ,Street or road in commercial area
1,07/11/2018 13:42:59,Public service,400  Uhland RD ,"Day care, in commercial property"
1,07/11/2018 15:14:12,"Medical assist, assist EMS crew",1201  Thorpe LN ,1 or 2 family dwelling
1,07/11/2018 15:21:42,"Alarm system sounded, no fire - unintentional",109  West AVE ,Multifamily dwellings
1,07/11/2018 15:29:38,"Medical assist, assist EMS crew",  Dog Beach Pole Number SP 9  ,"Lake, river, stream"
0,07/11/2018 15:37:31,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,07/11/2018 20:04:59,"Lock-in (if lock out , use 511 )",4440  Old Stagecoach RD ,Vehicle parking area
1,07/11/2018 22:23:37,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
2,07/12/2018 0:35:05,Alarm system sounded due to malfunction,1818  Old Ranch Road 12  ,Multifamily dwellings
3,07/12/2018 13:43:28,Motor vehicle/pedestrian accident (MV Ped),1600  Post RD ,Street or road in commercial area
1,07/12/2018 14:57:57,Public service, W Access RD ,Street or road in commercial area
1,07/12/2018 15:26:56,"Medical assist, assist EMS crew",2005  Ramona CIR ,1 or 2 family dwelling
1,07/12/2018 19:31:00,Public service,202  NB  ,Highway or divided highway
1,07/12/2018 19:40:44,"EMS call, excluding vehicle accident with injury",304  Linda DR ,1 or 2 family dwelling
1,07/12/2018 20:09:35,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/12/2018 21:07:21,"Detector activation, no fire - unintentional",1700  Hamilton AVE ,1 or 2 family dwelling
1,07/13/2018 1:24:49,"Medical assist, assist EMS crew",1655  Mill ST ,Vehicle parking area
2,07/13/2018 11:10:55,"EMS call, excluding vehicle accident with injury",106  Elm Hill CT ,1 or 2 family dwelling
2,07/13/2018 11:47:08,Chemical spill or leak,2516  La Ventana PKWY ,Sanitation utility
1,07/13/2018 13:15:18,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
0,07/13/2018 13:41:14,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
2,07/13/2018 14:21:35,"Alarm system sounded, no fire - unintentional",1271  Sadler DR ,Multifamily dwellings
3,07/13/2018 15:12:36,Assist police or other governmental agency,200  SB  ,Highway or divided highway
1,07/13/2018 17:29:02,"EMS call, excluding vehicle accident with injury",471  Bridlewood DR ,1 or 2 family dwelling
0,07/13/2018 19:48:51,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
1,07/13/2018 21:17:54,"EMS call, excluding vehicle accident with injury",110  Norcrest DR ,1 or 2 family dwelling
1,07/13/2018 21:24:12,No incident found on arrival at dispatch address,300 S C M Allen PKWY ,Vehicle parking area
1,07/13/2018 22:01:07,"EMS call, excluding vehicle accident with injury",556  Bridlewood DR ,1 or 2 family dwelling
1,07/13/2018 22:59:44,"Medical assist, assist EMS crew",556  Bridlewood DR ,1 or 2 family dwelling
1,07/13/2018 23:47:17,Smoke or odor removal,651 E Hopkins ST ,Vehicle parking area
1,07/14/2018 0:19:02,"EMS call, excluding vehicle accident with injury",705  River RD ,Multifamily dwellings
0,07/14/2018 2:31:50,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
2,07/14/2018 3:03:45,Dispatched & cancelled en route,  EXIT 208 NB  ,Highway or divided highway
1,07/14/2018 4:01:08,"EMS call, excluding vehicle accident with injury",1754  River RD ,Multifamily dwellings
1,07/14/2018 4:56:55,Smoke detector activation due to malfunction,1401  Wonder World DR ,Multifamily dwellings
2,07/14/2018 8:27:48,Motor vehicle accident with no injuries,  Centerpoint RD ,Street or road in commercial area
1,07/14/2018 10:07:54,"EMS call, excluding vehicle accident with injury",605  Bracewood CIR ,Multifamily dwellings
1,07/14/2018 11:38:56,Public service,1224  Chestnut ST ,1 or 2 family dwelling
1,07/14/2018 11:52:36,Public service, E Access RD ,Highway or divided highway
2,07/14/2018 12:39:56,Assist police or other governmental agency,204  SB  ,Highway or divided highway
1,07/14/2018 14:11:36,Dumpster or other outside trash receptacle fire,100  Concho ST ,Vehicle parking area
1,07/14/2018 14:52:12,"EMS call, excluding vehicle accident with injury",1646  Post RD ,Multifamily dwellings
2,07/14/2018 16:44:24,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
1,07/14/2018 16:56:53,Motor vehicle accident with no injuries,198  SB  ,Highway or divided highway
1,07/14/2018 18:09:54,"EMS call, excluding vehicle accident with injury",1754  River RD ,Multifamily dwellings
1,07/15/2018 0:36:46,"Medical assist, assist EMS crew",1221 W Hopkins ST ,Multifamily dwellings
1,07/15/2018 10:01:02,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"Textile, wearing apparel sales"
3,07/15/2018 14:42:49,Police matter,210  NB  ,Highway or divided highway
1,07/15/2018 14:48:42,"Medical assist, assist EMS crew",608  Bracewood CIR ,Multifamily dwellings
6,07/15/2018 20:53:51,"Steam, vapor, fog or dust thought to be smoke",601  River RD ,Multifamily dwellings
1,07/15/2018 23:33:04,"Medical assist, assist EMS crew",1701  Mill ST ,Multifamily dwellings
1,07/15/2018 23:37:14,"EMS call, excluding vehicle accident with injury",700  Barnes DR ,Vehicle parking area
1,07/16/2018 3:18:43,"Medical assist, assist EMS crew",111  Bandera ST ,1 or 2 family dwelling
2,07/16/2018 4:43:15,"Smoke detector activation, no fire - unintentional",1001 E McCarty LN ,"Hotel/motel, commercial"
1,07/16/2018 16:48:02,"Person in distress, other",1313 N IH 35  ,"Professional supplies, services"
1,07/16/2018 18:07:44,"Carbon monoxide detector activation, no CO",105  Bintu DR ,"Hotel/motel, commercial"
1,07/16/2018 18:19:17,"EMS call, excluding vehicle accident with injury",1001 E McCarty LN ,"Hotel/motel, commercial"
1,07/16/2018 18:43:04,"Medical assist, assist EMS crew",624  Mill ST ,Multifamily dwellings
1,07/16/2018 19:47:37,"Medical assist, assist EMS crew",1180  Thorpe LN ,Athletic/health club
1,07/16/2018 23:31:39,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
1,07/17/2018 1:24:24,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
6,07/17/2018 2:39:04,"Smoke scare, odor of smoke",1334 N IH 35  ,1 or 2 family dwelling
1,07/17/2018 8:41:42,"Medical assist, assist EMS crew",518  Linda DR ,Multifamily dwellings
1,07/17/2018 10:53:09,"EMS call, excluding vehicle accident with injury",405  Durango ST ,1 or 2 family dwelling
1,07/17/2018 12:34:27,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,07/17/2018 12:43:52,"Medical assist, assist EMS crew",500  Parker DR ,Multifamily dwellings
1,07/17/2018 13:33:29,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,07/17/2018 15:16:51,"EMS call, excluding vehicle accident with injury",100 N Edward Gary ST ,Vehicle parking area
1,07/17/2018 16:11:17,"Good intent call, other",  Invasion ST ,"Residential street, road or residential driveway"
1,07/17/2018 16:21:13,Assist police or other governmental agency, W Access RD ,Highway or divided highway
1,07/17/2018 17:12:12,Motor vehicle accident with no injuries,  Lime Kiln RD ,Street or road in commercial area
1,07/17/2018 18:26:14,Smoke detector activation due to malfunction,2600  Hunter RD ,Residential board and care
1,07/17/2018 18:45:52,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,07/17/2018 21:09:06,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,07/17/2018 22:56:06,"Medical assist, assist EMS crew",441  Lindsey ST ,1 or 2 family dwelling
1,07/17/2018 23:15:11,"EMS call, excluding vehicle accident with injury",405 E McCarty LN ,1 or 2 family dwelling
1,07/17/2018 23:26:34,Hazmat release investigation w/ no hazmat,1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,07/18/2018 0:47:12,"Medical assist, assist EMS crew",917 N IH 35  ,"Hotel/motel, commercial"
1,07/18/2018 4:39:24,"EMS call, excluding vehicle accident with injury",512  Craddock AVE ,Multifamily dwellings
1,07/18/2018 7:37:41,"EMS call, excluding vehicle accident with injury",1113 N IH 35  ,"Food and beverage sales, grocery store"
2,07/18/2018 9:52:16,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,07/18/2018 10:29:43,Vehicle accident with injuries,  EXIT 208 SB  ,Highway or divided highway
2,07/18/2018 11:54:22,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
3,07/18/2018 13:18:32,Vehicle accident with injuries,4000  Hwy 123  ,Highway or divided highway
2,07/18/2018 14:59:10,"EMS call, excluding vehicle accident with injury",610 W Hutchison ST ,"Clinic, clinic-type infirmary"
2,07/18/2018 15:53:35,"EMS call, excluding vehicle accident with injury", W Access RD ,Highway or divided highway
6,07/18/2018 16:45:08,"Brush, or brush and grass mixture fire",1105  Harris Hill RD ,Open land or field
1,07/18/2018 19:03:32,"EMS call, excluding vehicle accident with injury",400  Linda DR ,Multifamily dwellings
1,07/18/2018 20:16:58,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/19/2018 1:01:45,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,1 or 2 family dwelling
1,07/19/2018 3:22:26,"EMS call, excluding vehicle accident with injury",624  Mill ST ,1 or 2 family dwelling
1,07/19/2018 3:40:32,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,07/19/2018 6:29:01,Public service,500  Parker DR ,Multifamily dwellings
2,07/19/2018 9:56:09,Assist police or other governmental agency, E Access RD ,Street or road in commercial area
1,07/19/2018 12:31:54,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Textile, wearing apparel sales"
1,07/19/2018 12:45:50,"EMS call, excluding vehicle accident with injury",1350 N LBJ DR ,Business office
1,07/19/2018 13:29:17,No incident found on arrival at dispatch address,141  Tallow TRL ,1 or 2 family dwelling
2,07/19/2018 13:59:06,"EMS call, excluding vehicle accident with injury",702  Alabama ST ,1 or 2 family dwelling
2,07/19/2018 15:00:20,Motor vehicle accident with no injuries, W Access RD ,Street or road in commercial area
