Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0004028 - 000,8/15/19,5:54:47,200 E Mimosa Cir ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004029 - 000,8/15/19,7:32:01,1600 N IH 35 ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004030 - 000,8/15/19,10:34:55,1911 Corporate Dr  # 104 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004031 - 000,8/15/19,12:34:55,2100 Airport Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004032 - 000,8/15/19,13:02:21,E Access Rd ,552 - Police matter,Yes,Yes
0004033 - 000,8/15/19,13:41:37,249 Newberry Trl ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004034 - 000,8/15/19,14:02:42,800 Barnes Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0004036 - 000,8/15/19,14:51:19,1290 Wonder World Dr  # 1100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004037 - 000,8/15/19,16:25:54,Hwy 80 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004038 - 000,8/15/19,16:31:12,2212 N IH 35  # 123 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004039 - 000,8/15/19,16:58:11,1401 Wonder World Dr  # 8 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004040 - 000,8/15/19,17:16:55,1011 Uhland Rd  # 50 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004041 - 000,8/15/19,18:37:00,800 Barnes Dr ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004042 - 000,8/15/19,18:57:26,1481 Esplanade Pkwy ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0004043 - 000,8/15/19,20:13:05,737 Gravel St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004044 - 000,8/15/19,21:27:13,706 S Guadalupe St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004045 - 000,8/15/19,21:44:08,729 Mountain View Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004046 - 000,8/16/19,2:09:26,213 Nb35 Ih  # EXIT ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004047 - 000,8/16/19,7:07:58,1720 Old Ranch Road 12 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004048 - 000,8/16/19,8:07:52,1004 Hwy 123 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004049 - 000,8/16/19,9:52:52,2050 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004050 - 000,8/16/19,14:56:12,601 S C M Allen Pkwy ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004051 - 000,8/16/19,15:32:49,200 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004052 - 000,8/16/19,16:39:35,On S Comanche St  at Centre St ,"600 - Good intent call, other",Yes,Yes
0004053 - 000,8/16/19,18:42:10,205 NB ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004054 - 000,8/16/19,21:01:33,2550 Hunter Rd ,731 - Sprinkler activation due to malfunction,Yes,Yes
0004055 - 000,8/16/19,21:40:43,201 SB ,551 - Assist police or other governmental agency,Yes,Yes
0004056 - 000,8/16/19,22:54:20,204 Moore St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004057 - 000,8/16/19,23:28:08,1204 N LBJ Dr  # 219 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004058 - 000,8/17/19,1:22:16,2300 S IH 35 ,"500 - Service Call, other",Yes,Yes
0004059 - 000,8/17/19,10:23:41,Staples Rd ,"400 - Hazardous condition, other",Yes,Yes
0004060 - 000,8/17/19,11:20:44,600 Dale Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0004061 - 000,8/17/19,11:51:00,128 Flatland Trl ,412 - Gas leak (natural gas or LPG),Yes,Yes
0004062 - 000,8/17/19,12:43:50,S LBJ Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004063 - 000,8/17/19,13:31:22,E Hutchison St ,"440 - Electrical  wiring/equipment problem, other",Yes,Yes
0004064 - 000,8/17/19,13:34:25,210 N Edward Gary St ,353 - Removal of victim(s) from stalled elevator,Yes,Yes
0004065 - 000,8/17/19,14:44:56,Sadler Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004066 - 000,8/17/19,15:11:38,314 Parkside Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0004067 - 000,8/17/19,16:13:02,1401 Wonder World Dr  # 209 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004068 - 000,8/17/19,16:20:36,1004 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0004069 - 000,8/17/19,17:59:30,2913 Hunter Rd  # 818 ,611 - Dispatched & cancelled en route,Yes,Yes
0004070 - 000,8/17/19,18:26:27,207 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0004071 - 000,8/17/19,18:46:42,226 Durango St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004072 - 000,8/17/19,20:43:59,1012 Hyw 123 ,"520 - Water problem, other",Yes,Yes
0004073 - 000,8/17/19,20:49:48,1204 N LBJ Dr  # 219 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004074 - 000,8/17/19,21:20:47,204 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0004075 - 000,8/17/19,23:45:23,79 Elm Hill Ct ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004076 - 000,8/18/19,1:46:46,100 W Hopkins St ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004077 - 000,8/18/19,2:08:29,801 River Rd  # 275 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004078 - 000,8/18/19,2:34:40,518 Linda Dr  # 140 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004079 - 000,8/18/19,9:39:04,155 Wonder World Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004080 - 000,8/18/19,9:55:08,1001 Crepe Myrtle Dr  # 10 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004081 - 000,8/18/19,9:56:12,2603 Hunter Rd ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004082 - 000,8/18/19,10:39:35,107 Centerpoint Rd ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004083 - 000,8/18/19,13:05:19,700 Barnes Dr  # RX ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004084 - 000,8/18/19,13:45:57,800 Academy St ,611 - Dispatched & cancelled en route,Yes,Yes
0004085 - 000,8/18/19,15:20:47,N LBJ Dr  # R49 LOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004086 - 000,8/18/19,15:40:08,207 SB ,322 - Vehicle accident with injuries,Yes,Yes
0004087 - 000,8/18/19,15:51:30,345 Champions Blvd  # 123 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004088 - 000,8/18/19,16:13:31,1000 Hwy 80 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004089 - 000,8/18/19,16:42:19,700 Aquarena Springs Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004090 - 000,8/18/19,16:44:08,249 N LBJ Dr ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004091 - 000,8/18/19,17:01:52,615 N Lbj Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004092 - 000,8/18/19,17:32:58,715 Oscar Smith St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004093 - 000,8/18/19,17:49:18,898 Advance St ,111R - Building fire - Residential,Yes,Yes
0004095 - 000,8/18/19,19:38:10,1502 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004096 - 000,8/18/19,19:54:01,704 E Hopkins St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004097 - 000,8/18/19,22:07:14,339 N Guadalupe St ,"251 - Excessive heat, scorch burns with no ignition",Yes,Yes
0004098 - 000,8/18/19,23:43:14,421 W San Antonio St  # K1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004099 - 000,8/19/19,3:14:39,101 W Woods St  # LOBBY ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004101 - 000,8/19/19,4:48:12,1805 Peter Garza St ,154 - Dumpster or other outside trash receptacle fire,Yes,Yes
0004102 - 000,8/19/19,5:45:41,765 River Rd  # 1521 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004103 - 000,8/19/19,8:44:23,E Sessom Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004104 - 000,8/19/19,9:30:14,1001 E McCarty Ln ,611 - Dispatched & cancelled en route,Yes,Yes
0004106 - 000,8/19/19,9:56:47,1300 Girard Ave ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004107 - 000,8/19/19,9:58:16,N Edward Gary St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004108 - 000,8/19/19,10:07:49,1351 Sadler Dr  # 114A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004109 - 000,8/19/19,11:17:57,1001 E McCarty Ln ,611 - Dispatched & cancelled en route,Yes,Yes
0004110 - 000,8/19/19,11:45:27,1106 N IH 35 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004111 - 000,8/19/19,13:01:33,1350 Leah Ave  # MIDDLE ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004112 - 000,8/19/19,13:13:50,W Hopkins St ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004113 - 000,8/19/19,13:30:57,Chestnut St ,444 - Power line down,Yes,Yes
0004114 - 000,8/19/19,15:53:32,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004115 - 000,8/19/19,19:08:57,333 Stagecoach Trl ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004116 - 000,8/19/19,19:47:34,1401 Wonder World Dr  # 6 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004119 - 000,8/19/19,20:28:07,Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004120 - 000,8/19/19,21:06:49,River Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0004121 - 000,8/19/19,22:55:14,521 Parkdale Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004122 - 000,8/20/19,1:25:09,520 Linda Dr  # 1707 ,522 - Water or steam leak,Yes,Yes
0004124 - 000,8/20/19,7:30:30,418 Heart Ridge ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004125 - 000,8/20/19,8:08:09,1009 Crepe Myrtle Dr ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004126 - 000,8/20/19,9:32:32,1804 Lancaster St ,611 - Dispatched & cancelled en route,Yes,Yes
0004127 - 000,8/20/19,9:46:16,300 S Stagecoach Trl  # 2101 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004128 - 000,8/20/19,10:53:15,204 SB ,322 - Vehicle accident with injuries,Yes,Yes
0004129 - 000,8/20/19,12:18:49,333 Stagecoach Trl ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004130 - 000,8/20/19,13:48:31,206 NB ,322 - Vehicle accident with injuries,Yes,Yes
0004131 - 000,8/20/19,14:52:16,1015 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004133 - 000,8/20/19,15:18:45,350 North St  # 3211 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004134 - 000,8/20/19,18:06:03,1141 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0004136 - 000,8/20/19,19:13:56,1003 Sycamore St ,736 - CO detector activation due to malfunction,Yes,Yes
0004137 - 000,8/20/19,19:46:26,1610 N IH 35  # 324 ,"113 - Cooking fire, confined to container",Yes,Yes
0004138 - 000,8/20/19,21:55:47,San Antonio ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004139 - 000,8/20/19,22:27:18,1900 River Rd ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004140 - 000,8/20/19,22:28:44,E Mccarty Ln ,611 - Dispatched & cancelled en route,Yes,Yes
0004141 - 000,8/20/19,22:58:42,2000 Clovis Barker Rd ,"440 - Electrical  wiring/equipment problem, other",Yes,Yes
0004142 - 000,8/20/19,23:27:23,2800 Summit Rdg  # AREA ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004143 - 000,8/20/19,23:50:16,2913 Hunter Rd  # 738 ,551 - Assist police or other governmental agency,Yes,Yes
0004145 - 000,8/21/19,6:41:25,1117 Field St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004146 - 000,8/21/19,8:19:55,1203 Uhland Rd  # 23 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004147 - 000,8/21/19,9:24:45,1631 Aquarena Springs Dr  # 601 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004148 - 000,8/21/19,9:31:16,On N LBJ Dr  at E Hopkins St ,611 - Dispatched & cancelled en route,Yes,Yes
0004149 - 000,8/21/19,9:46:39,714 N Comanche St  # 940 ,111R - Building fire - Residential,Yes,Yes
0004150 - 000,8/21/19,10:44:50,2600 Hunter Rd  # 3302 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004151 - 000,8/21/19,11:00:09,712 S Stagecoach Trl ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004152 - 000,8/21/19,11:05:09,200 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0004153 - 000,8/21/19,11:28:33,110 Willow Springs Dr  # 102 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004154 - 000,8/21/19,12:56:54,1334 Hwy 123 ,322 - Vehicle accident with injuries,Yes,Yes
0004155 - 000,8/21/19,13:21:01,1807 Airport Dr ,462 - Aircraft standby,Yes,Yes
0004156 - 000,8/21/19,14:55:56,701 S LBJ Dr  # 286 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004157 - 000,8/21/19,15:01:31,209 NB ,322 - Vehicle accident with injuries,Yes,Yes
0004158 - 000,8/21/19,15:28:54,1201 Thorpe Ln  # 82 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004159 - 000,8/21/19,15:57:42,1004 Hwy 123 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004160 - 000,8/21/19,16:57:37,1720 Old Ranch Road 12 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004161 - 000,8/21/19,17:20:21,1481 Esplanade Pkwy ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004162 - 000,8/21/19,19:33:21,2215 Hunter Rd ,553 - Public service,Yes,Yes
0004163 - 000,8/21/19,20:38:41,1111 Avalon Ave  # 223 ,611 - Dispatched & cancelled en route,Yes,Yes
0004164 - 000,8/22/19,1:20:02,200 SB ,322 - Vehicle accident with injuries,Yes,Yes
0004165 - 000,8/22/19,4:07:26,503 Uhland Rd  # 73 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004166 - 000,8/22/19,10:31:08,1300 Girard Ave ,611 - Dispatched & cancelled en route,Yes,Yes
0004167 - 000,8/22/19,12:42:15,451 Barnes Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0004168 - 000,8/22/19,13:15:28,1001 E McCarty Ln  # CONF CEN ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004169 - 000,8/22/19,13:50:07,636 Mill St  # A ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004170 - 000,8/22/19,14:05:55,Aquarena Springs Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004171 - 000,8/22/19,16:46:39,1018 Sand Post Pl ,611 - Dispatched & cancelled en route,Yes,Yes
0004172 - 000,8/22/19,17:25:40,200 W Hopkins St ,322 - Vehicle accident with injuries,Yes,Yes
0004173 - 000,8/22/19,18:15:00,100 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004174 - 000,8/22/19,18:17:40,Durango St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004175 - 000,8/22/19,18:38:31,210 S NB ,143 - Grass fire,Yes,Yes
0004177 - 000,8/22/19,18:44:17,4300 S IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0004178 - 000,8/22/19,18:47:37,Hwy 123 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004179 - 000,8/22/19,20:06:09,622 Conway Dr ,"151 - Outside rubbish, trash or waste fire",Yes,Yes
0004180 - 000,8/22/19,20:31:08,201 Stillwell St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004181 - 000,8/22/19,20:32:40,1707 Aquarena Springs Dr  # 197 ,611 - Dispatched & cancelled en route,Yes,Yes
0004183 - 000,8/22/19,21:23:54,1271 Sadler Dr  # 4205 ,611 - Dispatched & cancelled en route,Yes,Yes
0004184 - 000,8/22/19,22:19:42,1105 N IH 35 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004186 - 000,8/22/19,23:24:28,210 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004188 - 000,8/23/19,0:30:48,217 W Woods St  # 105 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004189 - 000,8/23/19,1:21:08,200 Springtown Way ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004190 - 000,8/23/19,3:09:25,2 Timbercrest ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004191 - 000,8/23/19,4:52:34,1004 Hwy 123 ,742 - Extinguishing system activation,Yes,Yes
0004192 - 000,8/23/19,8:42:00,1202 Thorpe Ln  # 503 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004193 - 000,8/23/19,9:36:16,N LBJ Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004194 - 000,8/23/19,11:30:05,1340 Wonder World Dr  # 4100 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004196 - 000,8/23/19,11:48:27,641 E Hopkins St  # Bldg 1 ,"331 - Lock-in (if lock out , use 511 )",Yes,Yes
0004197 - 000,8/23/19,12:05:14,118 Ladybird Ln  # B3 ,611 - Dispatched & cancelled en route,Yes,Yes
0004198 - 000,8/23/19,13:28:21,1610 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004199 - 000,8/23/19,13:38:08,1975 Aquarena Springs Dr  # 1037 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004200 - 000,8/23/19,13:58:16,1400 Hwy 123 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004202 - 000,8/23/19,14:35:19,1351 Sadler Dr  # 405A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004203 - 000,8/23/19,14:51:05,W Hopkins St ,611 - Dispatched & cancelled en route,Yes,Yes
0004204 - 000,8/23/19,15:10:03,Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004205 - 000,8/23/19,15:47:48,1401 Wonder World Dr  # 106 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004206 - 000,8/23/19,16:27:45,1004 N IH 35 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004207 - 000,8/23/19,16:34:56,600 Cape Rd ,322 - Vehicle accident with injuries,Yes,Yes
0004208 - 000,8/23/19,17:19:03,1350 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004209 - 000,8/23/19,17:29:49,204 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004210 - 000,8/23/19,18:45:27,210 NB ,551 - Assist police or other governmental agency,Yes,Yes
0004211 - 000,8/23/19,18:50:20,700 S Loop St ,444 - Power line down,Yes,Yes
0004212 - 000,8/23/19,19:28:03,300 S Stagecoach Trl  # 1304 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004214 - 000,8/23/19,19:40:52,206 SB ,551 - Assist police or other governmental agency,Yes,Yes
0004215 - 000,8/23/19,20:32:40,1271 Sadler Dr  # 3312 ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0004216 - 000,8/23/19,20:53:15,1100 N IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004217 - 000,8/23/19,20:54:37,1401 Wonder World Dr  # 316 ,611 - Dispatched & cancelled en route,Yes,Yes
0004218 - 000,8/23/19,21:12:00,184 Backhorn Ln ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004219 - 000,8/23/19,21:24:06,2917 Hunter Rd  # 24 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004220 - 000,8/23/19,22:05:23,901 Hwy 80  # A ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0004221 - 000,8/23/19,22:30:14,202 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004222 - 000,8/24/19,0:09:25,623 W Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004223 - 000,8/24/19,1:24:29,500 N Edward Gary St ,611 - Dispatched & cancelled en route,Yes,Yes
0004224 - 000,8/24/19,1:23:30,1701 Mill St  # 35105 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004225 - 000,8/24/19,1:33:31,963 Field St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004226 - 000,8/24/19,2:45:52,120 E San Antonio St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004227 - 000,8/24/19,3:32:09,1321 Sunflower Ln ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004228 - 000,8/24/19,3:35:52,Hwy 21 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004229 - 000,8/24/19,4:40:06,3939 S IH 35  # 7C ,"700 - False alarm or false call, other",Yes,Yes
0004230 - 000,8/24/19,10:43:33,700 S LBJ Dr  # CREEK ,552 - Police matter,Yes,Yes
0004231 - 000,8/24/19,11:06:07,1804 Lancaster St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004232 - 000,8/24/19,11:17:46,3939 S IH 35  # 460 ,112 - Fires in structures other than in a building,Yes,Yes
0004233 - 000,8/24/19,11:42:19,155 Wonder World Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004234 - 000,8/24/19,12:38:12,202 Coachman Dr ,112 - Fires in structures other than in a building,Yes,Yes
0004235 - 000,8/24/19,12:43:45,831 Old Ranch Road 12 ,554 - Assist invalid,Yes,Yes
0004236 - 000,8/24/19,14:41:54,204 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0004237 - 000,8/24/19,16:49:37,On S C M Allen Pkwy  at Comal St ,322 - Vehicle accident with injuries,Yes,Yes
0004239 - 000,8/24/19,16:51:34,503 Springtown Way  # 310 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004240 - 000,8/24/19,17:55:17,1600 N IH 35  # 210 D ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004241 - 000,8/24/19,18:12:52,1716 Hofheinz St  # 5 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004242 - 000,8/24/19,18:20:14,4205 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004243 - 000,8/24/19,18:27:55,114 E Hutchison St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004244 - 000,8/24/19,18:42:25,206 NB  # B ,553 - Public service,Yes,Yes
0004245 - 000,8/24/19,19:43:47,301 N Guadalupe St  # 1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004246 - 000,8/24/19,19:46:26,900 Hwy 80 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004247 - 000,8/24/19,19:55:09,On Clovis Barker Rd  at Civic Cen ter Lp,143 - Grass fire,Yes,Yes
0004248 - 000,8/24/19,20:14:15,On E Sessom Dr  at Pleasant St ,322 - Vehicle accident with injuries,Yes,Yes
0004250 - 000,8/24/19,20:23:59,Wonder World Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004251 - 000,8/24/19,20:22:37,201 E Access Rd ,322 - Vehicle accident with injuries,Yes,Yes
0004252 - 000,8/24/19,20:31:34,900 Barnes Dr ,"600 - Good intent call, other",Yes,Yes
0004253 - 000,8/24/19,20:33:40,1011 Wonder World Dr  # BLDG 8 ,622 - No incident found on arrival at dispatch address,Yes,Yes
0004254 - 000,8/24/19,21:02:08,1011 Wonder World Dr  # BLDG12 ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004256 - 000,8/24/19,21:05:13,501 E Hopkins St ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0004257 - 000,8/24/19,21:36:08,1011 Wonder World Dr  # BLDG 4 ,735 - Alarm system sounded due to malfunction,Yes,Yes
0004258 - 000,8/24/19,21:45:26,108 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0004259 - 000,8/24/19,22:28:18,W MLK Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0004260 - 000,8/24/19,23:10:18,400 Barnes Dr  # BACKPLOT ,"445 - Arcing, shorted electrical equipment",Yes,Yes
0004261 - 000,8/24/19,23:17:08,N LBJ Dr  # STATUE ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004262 - 000,8/25/19,0:26:21,205 NB ,322 - Vehicle accident with injuries,Yes,Yes
0004263 - 000,8/25/19,0:31:11,650 River Rd  # 15102 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004265 - 000,8/25/19,3:28:26,102 Wild Plum ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004266 - 000,8/25/19,6:37:43,300 S Stagecoach Trl  # 3107 ,"510 - Person in distress, other",Yes,Yes
0004267 - 000,8/25/19,9:19:53,2600 Hunter Rd  # 2108 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004268 - 000,8/25/19,12:24:14,250 S Stagecoach Trl  # BLDG 1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004270 - 000,8/25/19,12:59:08,3939 S IH 35  # 1200 ,611 - Dispatched & cancelled en route,Yes,Yes
0004271 - 000,8/25/19,13:06:25,E Access Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004272 - 000,8/25/19,15:10:14,1100 Academy St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004273 - 000,8/25/19,17:58:47,200 NB ,322 - Vehicle accident with injuries,Yes,Yes
0004274 - 000,8/25/19,18:18:27,1800 Post Rd  # 723 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0004275 - 000,8/25/19,19:22:01,1117 San Marcos Pkwy  # A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004276 - 000,8/25/19,19:52:36,1350 N LBJ Dr  # BLDG16 ,733 - Smoke detector activation due to malfunction,Yes,Yes
0004277 - 000,8/25/19,20:19:04,120 Werner Dr ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0004278 - 000,8/25/19,20:24:27,E Hopkins St ,554 - Assist invalid,Yes,Yes
0004280 - 000,8/25/19,21:25:49,1721 S IH 35  # PLOT ,611 - Dispatched & cancelled en route,Yes,Yes
0004281 - 000,8/25/19,21:58:11,21 Timbercrest ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004282 - 000,8/25/19,23:16:05,1000 Gravel St ,"651 - Smoke scare, odor of smoke",Yes,Yes
0004283 - 000,8/26/19,0:38:28,300 S Stagecoach Trl  # 1105 ,"700 - False alarm or false call, other",Yes,Yes
0004284 - 000,8/26/19,1:21:05,1271 Sadler Dr  # 3303 ,611 - Dispatched & cancelled en route,Yes,Yes
0004285 - 000,8/26/19,2:24:41,1500 S IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0004286 - 000,8/26/19,2:42:38,2 Timbercrest ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0004287 - 000,8/26/19,11:27:12,500 Barnes Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
